Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
0.0,0.0,1.0,0.0,Sun Jun 24 19:17:37 +0000 2018,Trump calls for deportations without judicial process https://t.co/Nl5nkeES6S,0,BBCWorld
-0.3612,0.333,0.667,0.0,Sun Jun 24 18:55:57 +0000 2018,Europe migrants: Italy warns Schengen is 'at risk' https://t.co/RCO71FM9fr,1,BBCWorld
-0.6705,0.36,0.64,0.0,Sun Jun 24 17:44:07 +0000 2018,Mali Fula villagers were killed 'in cold blood' https://t.co/AfcHoefUVO,2,BBCWorld
0.4588,0.0,0.769,0.231,Sun Jun 24 17:02:54 +0000 2018,Event in Dublin for 60 years of UN peacekeeping missions https://t.co/6w3nloDc5Q,3,BBCWorld
-0.7906,0.467,0.533,0.0,Sun Jun 24 16:48:00 +0000 2018,A juvenile male has been arrested over Tallaght Park death https://t.co/qLTGyf7inE,4,BBCWorld
-0.3802,0.126,0.874,0.0,Sun Jun 24 16:43:57 +0000 2018,"RT @bbctennis: He’s done it!

Cilic defeats Djokovic 5-7, 7-6, 6-3.

Watch on @BBCTwo or here👇
https://t.co/jUcUW6L31r
#bbctennis #QueensTe…",5,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 15:54:59 +0000 2018,Erdogan leads after early results in Turkey https://t.co/3ywfCK7u0H,6,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 15:22:40 +0000 2018,"Lava from Hawaii's Kilauea volcano creeps closer to more homes 🌋

https://t.co/DX4aFQwOaH https://t.co/HRp05YBuHy",7,BBCWorld
0.4574,0.0,0.834,0.166,Sun Jun 24 13:53:17 +0000 2018,"RT @BBCSport: FT #ENG 6-1 #PAN 

Kane ⚽⚽⚽
Stones ⚽⚽
Lingard ⚽

Qualification secured! ✅

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/ByebdqU7Y…",8,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 13:38:10 +0000 2018,"RT @BBCSport: GOAL! #ENG 6-1 #PAN 

Comeback on?

Baloy gets on the end of a free-kick. The Panama fans go wild!

📺 @BBCOne 
📻 @5liveSport…",9,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 13:36:20 +0000 2018,"RT @bbcf1: Moment of history for Saudi Arabia's women at today's  #FrenchGP 

Aseel Al-Hamad will drive a Lotus Renault E20 on a lap of the…",10,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 13:21:38 +0000 2018,"RT @BBCSport: GOAL! #ENG 6-0 #PAN 

Hat-trick for Harry Kane!

He's the leading #WorldCup goalscorer now on five goals!

📺 @BBCOne 
📻 @5liv…",11,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 12:45:55 +0000 2018,"RT @BBCSport: GOAL! #ENG 5-0 #PAN 

It's coming home.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/ByebdqU7Yx

#WorldCup #ENGPAN #bbcworldcup…",12,BBCWorld
0.3578,0.0,0.873,0.127,Sun Jun 24 12:42:22 +0000 2018,"RT @BBCSport: GOAL! #ENG 4-0 #PAN 

Okay.

John Stones grabs his second - England are cruising!

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/B…",13,BBCWorld
0.7762,0.0,0.727,0.273,Sun Jun 24 12:36:38 +0000 2018,"RT @BBCSport: GOAL! #ENG 3-0 #PAN 

Jesse Lingard!!

He curls a beauty into the top corner. Dreamland for England!

📺 @BBCOne 
📻 @5liveSpor…",14,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 12:23:45 +0000 2018,"RT @BBCSport: GOAL! #ENG 2-0 #PAN 

Harry Kane converts from the spot - his third goal of the #WorldCup 

📺 @BBCOne 
📻 @5liveSport 
📱 https…",15,BBCWorld
-0.8126,0.552,0.448,0.0,Sun Jun 24 12:17:52 +0000 2018,Ukraine Roma camp attack leaves one dead https://t.co/PlwCBL9CYV,16,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 12:09:06 +0000 2018,"RT @BBCSport: GOAL! #ENG 1-0 #PAN 

What a start! 

John Stones with a bullet header from a corner.

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.…",17,BBCWorld
0.0,0.0,1.0,0.0,Sun Jun 24 12:00:45 +0000 2018,"RT @BBCSport: #ENG v #PAN is under way!

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/ByebdqU7Yx

#WorldCup #ENGPAN #bbcworldcup https://t.co/r…",18,BBCWorld
